Row Labels,Average of Max,1st,2nd,3rd,,,
Capomulin,46.16412071,45,45.89372032,46.74900552,1.74900552,42.37649172,49.3725138
b128,45.65133131,,,,,,
b742,45,,,,,,
f966,45,,,,,,
g288,46.30400254,,,,,,
g316,46.80922469,,,,,,
i557,47.68596303,,,,,,
i738,45.59568527,,,,,,
j119,48.15820939,,,,,,
j246,46.4083613,,,,,,
l509,48.07045162,,,,,,
l897,46.15473721,,,,,,
m601,45,,,,,,
m957,46.4145177,,,,,,
r157,46.53920617,,,,,,
r554,45.78174579,,,,,,
r944,47.37342325,,,,,,
s185,45,,,,,,
s710,45,,,,,,
t565,46.74900552,,,,,,
u364,47.21219992,,,,,,
v923,45.70443431,,,,,,
w150,45,,,,,,
w914,45.89372032,,,,,,
x401,45.47375302,,,,,,
y793,45,,,,,,
Ceftamin,61.65889988,48.72207785,59.85195552,64.29983003,15.57775218,25.35544958,87.6664583
a275,62.99935619,,,,,,
b447,45,,,,,,
b487,56.05774909,,,,,,
b759,55.74282869,,,,,,
f436,48.72207785,,,,,,
h531,47.7846818,,,,,,
j296,61.84902336,,,,,,
k210,68.92318457,,,,,,
l471,67.74866174,,,,,,
l490,57.91838132,,,,,,
l558,46.78453491,,,,,,
l661,59.85195552,,,,,,
l733,64.29983003,,,,,,
o287,59.74190064,,,,,,
p438,61.43389223,,,,,,
q483,64.19234114,,,,,,
t573,45,,,,,,
u149,52.92534846,,,,,,
u153,45,,,,,,
w151,67.52748237,,,,,,
x226,45,,,,,,
x581,64.63494887,,,,,,
x822,61.38666032,,,,,,
y769,68.59474498,,,,,,
y865,64.72983655,,,,,,
Infubinol,61.41283834,54.04860769,60.16518046,65.52574285,11.47713516,36.83290495,82.74144559
a203,67.97341878,,,,,,
a251,65.52574285,,,,,,
a577,57.03186187,,,,,,
a685,66.08306589,,,,,,
c139,72.2267309,,,,,,
c326,45,,,,,,
c895,60.96971133,,,,,,
e476,62.43540402,,,,,,
f345,60.91876652,,,,,,
i386,67.28962147,,,,,,
k483,66.19691151,,,,,,
k804,62.11727887,,,,,,
m756,47.01036401,,,,,,
n671,60.16518046,,,,,,
o809,55.62942846,,,,,,
o813,45.69933088,,,,,,
q132,54.65654872,,,,,,
s121,55.65068132,,,,,,
v339,46.25011212,,,,,,
v719,54.04860769,,,,,,
v766,51.54243058,,,,,,
w193,50.00513807,,,,,,
w584,58.26844248,,,,,,
y163,67.68556862,,,,,,
z581,62.75445141,,,,,,
Ramicane,45.67697484,45,45.52187471,46.34383237,1.34383237,42.98425145,48.35958093
a411,45.46667714,,,,,,
a444,45,,,,,,
a520,45,,,,,,
a644,46.91089166,,,,,,
c458,45.72227949,,,,,,
c758,46.94094512,,,,,,
d251,45,,,,,,
e662,46.40908385,,,,,,
g791,45.85153062,,,,,,
i177,45,,,,,,
i334,45,,,,,,
j913,45.25253427,,,,,,
j989,46.34383237,,,,,,
k403,45,,,,,,
m546,45,,,,,,
n364,45.52187471,,,,,,
q597,45.76611104,,,,,,
q610,46.58543347,,,,,,
r811,45.62580225,,,,,,
r921,45.56821083,,,,,,
s508,45,,,,,,
u196,47.62281636,,,,,,
w678,45,,,,,,
y449,46.37809248,,,,,,
z578,45,,,,,,
Grand Total,52.75045139,,,,,,
